No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier,Primary Link (LCSC),Secondary Link (Aliexpress,Aliexpress notes
1,9,100nF,"C1,C2,C3,C4,C5,C8,C20,C21,C22",C0603,100nF,,,C282519,,https://www.lcsc.com/product-detail/C282519.html,,
2,3,2.2uF,"C6,C16,C17",C0603,2.2uF,,,C23630,,https://www.lcsc.com/product-detail/C23630.html,,
3,1,470pF,C7,C0603,470pF,,,C1620,,https://www.lcsc.com/product-detail/C1620.html,https://www.aliexpress.us/item/3256806598014429.html?,603 2250pcs
4,2,22uF,"C9,C10",C0603,22uF,,,C59461,,https://www.lcsc.com/product-detail/C59461.html,,
5,1,10uF,C11,CAP-TH_BD5.0-P2.00-D0.8-FD,10uF,ERS1HM100D11OT,AISHI(????),C106654,LCSC,https://www.lcsc.com/product-detail/C106654.html,,
6,1,100uF,C12,CAP-TH_BD6.0-P2.50-D0.5-FD,100uF,KM1V101M0611,ROQANG(??),C2873963,LCSC,https://www.lcsc.com/product-detail/C2873963.html,,
7,2,22uF,"C14,C15",CAP-TH_BD4.0-P1.50-D0.8-FD,22uF,KS226M025C07RR0VH2FP0,Chengx(??),C43840,LCSC,https://www.lcsc.com/product-detail/C43840.html,,
8,2,30pF,"C18,C19",C0603,30pF,,,C53084491,,https://www.lcsc.com/product-detail/C53084491.html,,
9,2,1N4148W,"D1,D2",SOD-123_L2.7-W1.6-LS3.7-FD,,1N4148W,R+O(???),C7420318,LCSC,https://www.lcsc.com/product-detail/C7420318.html,https://www.aliexpress.us/item/3256806974248533.html,1N4148W
10,1,HDR-M_2.54_2x5,DEBUG1,HDR-TH_10P-P2.54-V-M-R2-C5-S2.54,,,,C492422,,https://www.lcsc.com/product-detail/C492422.html,https://www.aliexpress.us/item/2255800801798474.html,2x5 pin
11,1,1.5uH,L2,IND-SMD_L7.0-W6.6,1.5uH,FXL0630-1R5-M,cjiang(????),C167217,LCSC,https://www.lcsc.com/product-detail/C167217.html,,
12,3,WS2812B-B/T,"LED1,LED2,LED3",LED-SMD_4P-L5.0-W5.0-TL_WS2812B-B,,WS2812B-B/T,worldsemi,C2761795,LCSC,https://www.lcsc.com/product-detail/C2761795.html,,
13,3,10K,"R5,R8,R9",R0603,10K,,,C2930027,,https://www.lcsc.com/product-detail/C2930027.html,,
14,1,100K,R7,R0603,100K,,,C2907088,,https://www.lcsc.com/product-detail/C2907088.html,https://www.aliexpress.us/item/3256805982757385.html,0603
15,1,1K,R10,R0603,1K,,,C2907113,,https://www.lcsc.com/product-detail/C2907113.html,,
16,2,5.1K,"R11,R12",R0603,5.1K,,,C2907044,,https://www.lcsc.com/product-detail/C2907044.html,,
17,2,22R,"R13,R14",R0603,22R,,,C2907129,,https://www.lcsc.com/product-detail/C2907129.html,,
18,4,120R,"R15,R16,R17,R18",R0603,120R,,,C2907096,,https://www.lcsc.com/product-detail/C2907096.html,,
19,4,S2B-PH-K-S(LF)(SN),"RS485OUT1,RS485OUT2,RS485OUT3,RS485OUT4",CONN-TH_S2B-PH-K-S-LF-SN,,S2B-PH-K-S(LF)(SN),JST,C173752,LCSC,https://www.lcsc.com/product-detail/C173752.html,https://www.aliexpress.us/item/3256802928739446.html,right angle  ph2.0mm 10pcs 2p
20,2,TS-1088-AR02016,"SW1,SW2",SW-SMD_L3.9-W3.0-P4.45,,TS-1088-AR02016,XUNPU(??),C720477,LCSC,https://www.lcsc.com/product-detail/C720477.html,https://www.aliexpress.us/item/3256804121350843.html?,
21,1,STM32F405RGT6,U1,LQFP-64_L10.0-W10.0-P0.50-LS12.0-BL,,STM32F405RGT6,ST(?????),C15742,LCSC,https://www.lcsc.com/product-detail/C15742.html,,
22,4,MAX485ESA(UMW),"U2,U3,U4,U5",SOP-8_L5.0-W4.0-P1.27-LS6.0-BL,,MAX485ESA(UMW),UMW(?????),C668206,LCSC,https://www.lcsc.com/product-detail/C668206.html,,
23,1,AMS1117-3.3,U6,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,,AMS1117-3.3,AMS,C6186,LCSC,https://www.lcsc.com/product-detail/C6186.html,https://www.aliexpress.us/item/3256808371143881.html?,AMS1117-3.3
24,1,TPS513885VABR,U7,VQFN-HR-13_L4.0-W3.0_TPS51388VABR,,TPS513885VABR,TI(????),C41935536,LCSC,https://www.lcsc.com/product-detail/C41935536.html,,
25,2,KF301-5.0-3P,"U8,U9",CONN-TH_3P-P5.00_KF301-5.0-3P,,KF301-5.0-3P,KEFA(??),C474882,LCSC,https://www.lcsc.com/product-detail/C474882.html,https://www.aliexpress.us/item/3256806456550715.html,3P BLUE
26,1,TYPE-C-31-M-12,USBC1,USB-C_SMD-TYPE-C-31-M-12_1,,TYPE-C-31-M-12,????,C165948,LCSC,https://www.lcsc.com/product-detail/C165948.html,https://www.aliexpress.us/item/3256807233054512.html,M 16 pin
27,1,8MHz,X2,CRYSTAL-SMD_4P-L3.2-W2.5-BL,8MHz,X32258MOB4SI,YXC(????),C2682775,LCSC,https://www.lcsc.com/product-detail/C2682775.html,https://www.aliexpress.us/item/3256809198048306.html?,8M
